--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement
5, 1, 1, 1024, 0, 0, 0, 0, -nan
10, 1, 1, 1024, 0, 0, 0, 0, -nan
15, 1, 1, 1024, 0, 0, 0, 0, -nan
20, 1, 1, 1024, 0, 0, 0, 0, -nan
25, 1, 1, 1024, 0, 0, 0, 0, -nan
30, 1, 1, 1024, 0, 0, 0, 0, -nan
35, 1, 1, 1024, 0, 0, 0, 0, -nan
40, 1, 1, 1024, 0, 0, 0, 0, -nan
45, 1, 1, 1024, 0, 0, 0, 0, -nan
50, 1, 1, 1024, 0, 0, 0, 0, -nan
55, 1, 1, 1024, 0, 0, 0, 0, -nan
60, 1, 1, 1024, 0, 0, 0, 0, -nan
65, 1, 1, 1024, 0, 0, 0, 0, -nan
70, 1, 1, 1024, 0, 0, 0, 0, -nan
75, 1, 1, 1024, 0, 0, 0, 0, -nan
80, 1, 1, 1024, 0, 0, 0, 0, -nan
85, 1, 1, 1024, 0, 0, 0, 0, -nan
90, 1, 1, 1024, 0, 0, 0, 0, -nan
95, 1, 1, 1024, 0, 0, 0, 0, -nan
100, 1, 1, 1024, 0, 0, 0, 0, -nan

Total execution time: 0 seconds
