--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement
5, 10, 500000, 1024, 164585974, 44789413, 74037500, 27125000, 55.016
10, 10, 500000, 1024, 322971452, 65176298, 192125000, 50875000, 40.513
15, 10, 500000, 1024, 481390966, 74059559, 322950000, 66000000, 32.913
20, 10, 500000, 1024, 639720677, 77748686, 462462500, 74000000, 27.709
25, 10, 500000, 1024, 798198451, 79198563, 606487500, 77125000, 24.018
30, 10, 500000, 1024, 956516171, 79733976, 751150000, 78875000, 21.470
35, 10, 500000, 1024, 1114965206, 79919299, 893150000, 79250000, 19.894
40, 10, 500000, 1024, 1273314495, 79977422, 1036475000, 79875000, 18.600
45, 10, 500000, 1024, 1431817620, 79994326, 1188850000, 80000000, 16.969
50, 10, 500000, 1024, 1590188503, 79998806, 1342225000, 80000000, 15.593
55, 10, 500000, 1024, 1748640338, 79999771, 1500162500, 80000000, 14.210
60, 10, 500000, 1024, 1907000496, 79999971, 1667087500, 80000000, 12.581
65, 10, 500000, 1024, 2065362520, 79999997, 1819450000, 80000000, 11.907
70, 10, 500000, 1024, 2223855097, 80000000, 1996175000, 80000000, 10.238
75, 10, 500000, 1024, 2382309873, 80000000, 2165187500, 80000000, 9.114
80, 10, 500000, 1024, 2540590464, 80000000, 2345325000, 80000000, 7.686
85, 10, 500000, 1024, 2698962048, 80000000, 2526512500, 80000000, 6.389
90, 10, 500000, 1024, 2857474207, 80000000, 2702112500, 80000000, 5.437
95, 10, 500000, 1024, 3015772392, 80000000, 2898400000, 80000000, 3.892
100, 10, 500000, 1024, 3174187500, 80000000, 3174187500, 80000000, 0.000

Total execution time: 99508 seconds
