--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement, % wearout
5, 1, 5000, 4096, 1166697, 179283, 905000, 155000, 22.431, 13.545
10, 1, 5000, 4096, 2318605, 260829, 1895000, 235000, 18.270, 9.903
15, 1, 5000, 4096, 3462212, 296189, 3018750, 282500, 12.809, 4.622
20, 1, 5000, 4096, 4618375, 310965, 4070000, 298750, 11.874, 3.928
25, 1, 5000, 4096, 5770479, 316814, 5213750, 315000, 9.648, 0.573
30, 1, 5000, 4096, 6920180, 318955, 6435000, 318750, 7.011, 0.064
35, 1, 5000, 4096, 8070467, 319664, 7386250, 317500, 8.478, 0.677
40, 1, 5000, 4096, 9225496, 319903, 8481250, 320000, 8.067, -0.030
45, 1, 5000, 4096, 10380789, 319977, 9685000, 320000, 6.703, -0.007
50, 1, 5000, 4096, 11534781, 319994, 10975000, 320000, 4.853, -0.002
55, 1, 5000, 4096, 12690095, 319999, 12107500, 320000, 4.591, -0.000
60, 1, 5000, 4096, 13835858, 320000, 13112500, 320000, 5.228, 0.000
65, 1, 5000, 4096, 14993030, 320000, 14317500, 320000, 4.506, 0.000
70, 1, 5000, 4096, 16141662, 320000, 15487500, 320000, 4.053, 0.000
75, 1, 5000, 4096, 17296365, 320000, 16720000, 320000, 3.332, 0.000
80, 1, 5000, 4096, 18445472, 320000, 17951250, 320000, 2.679, 0.000
85, 1, 5000, 4096, 19591180, 320000, 19101250, 320000, 2.501, 0.000
90, 1, 5000, 4096, 20744464, 320000, 20305000, 320000, 2.118, 0.000
95, 1, 5000, 4096, 21902700, 320000, 21622500, 320000, 1.279, 0.000
100, 1, 5000, 4096, 23051250, 320000, 23051250, 320000, 0.000, 0.000

Total execution time: 7 seconds
