--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement
5, 10, 50000, 2048, 32292022, 8953250, 20320000, 6662500, 37.074
10, 10, 50000, 2048, 63986963, 13035969, 46267500, 11500000, 27.692
15, 10, 50000, 2048, 95685475, 14812368, 74736250, 13900000, 21.894
20, 10, 50000, 2048, 127365135, 15550033, 104392500, 15175000, 18.037
25, 10, 50000, 2048, 158995888, 15839172, 134535000, 15700000, 15.385
30, 10, 50000, 2048, 190716351, 15946998, 162797500, 15900000, 14.639 0.295
35, 10, 50000, 2048, 222418993, 15983732, 193440000, 15962500, 13.029 0.133
40, 10, 50000, 2048, 254038870, 15995405, 224390000, 16000000, 11.671 -0.029
45, 10, 50000, 2048, 285711105, 15998917, 256397500, 15987500, 10.260 0.071
50, 10, 50000, 2048, 317447457, 15999790, 287090000, 16000000, 9.563 -0.001
55, 10, 50000, 2048, 349127114, 15999945, 318152500, 16000000, 8.872 -0.000
60, 10, 50000, 2048, 380809189, 15999997, 348846250, 16000000, 8.393 -0.000
65, 10, 50000, 2048, 412457263, 15999999, 383252500, 16000000, 7.081 -0.000
70, 10, 50000, 2048, 444152038, 16000000, 416025000, 16000000, 6.333 0.000
75, 10, 50000, 2048, 475787695, 16000000, 446551250, 16000000, 6.145 0.000
80, 10, 50000, 2048, 507487228, 16000000, 483022500, 16000000, 4.821 0.000
85, 10, 50000, 4096, 1077727490, 32000000, 1046773750, 32000000, 2.872 0.000
90, 10, 50000, 4096, 1141102467, 32000000, 1114891250, 32000000, 2.297 0.000
95, 10, 50000, 4096, 1204438971, 32000000, 1184555000, 32000000, 1.651 0.000
100, 10, 50000, 4096, 1267818750, 32000000, 1267818750, 32000000, 0.000 0.000

Total execution time: 720 seconds
