--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement
5, 10, 50, 1024, 16024, 4323, 10905, 3468, 31.946
10, 10, 50, 1024, 30824, 6259, 25293, 5892, 17.944
15, 10, 50, 1024, 46722, 7118, 39352, 6912, 15.774
20, 10, 50, 1024, 61409, 7464, 53042, 7260, 13.625
25, 10, 50, 1024, 76348, 7610, 67798, 7560, 11.199
30, 10, 50, 1024, 92082, 7659, 81360, 7632, 11.644
35, 10, 50, 1024, 108112, 7672, 96444, 7668, 10.793
40, 10, 50, 1024, 122377, 7679, 110762, 7680, 9.491
45, 10, 50, 1024, 137870, 7680, 126817, 7680, 8.017
50, 10, 50, 1024, 153454, 7680, 141174, 7680, 8.002
55, 10, 50, 1024, 168473, 7680, 157380, 7680, 6.584
60, 10, 50, 1024, 183418, 7680, 172725, 7680, 5.830
65, 10, 50, 1024, 198051, 7680, 188569, 7680, 4.788
70, 10, 50, 1024, 214143, 7680, 204463, 7680, 4.520
75, 10, 50, 1024, 228578, 7680, 218334, 7680, 4.482
80, 10, 50, 1024, 244679, 7680, 235154, 7680, 3.893
85, 10, 50, 1024, 259475, 7680, 251157, 7680, 3.206
90, 10, 50, 1024, 274313, 7680, 266863, 7680, 2.716
95, 10, 50, 1024, 289443, 7680, 284622, 7680, 1.666
100, 10, 50, 1024, 304722, 7680, 304722, 7680, 0.000

Total execution time: 1 seconds
