--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement
5, 1, 12, 1024, 719, 110, 588, 96, 18.220
10, 1, 12, 1024, 1551, 156, 1272, 162, 17.988
15, 1, 12, 1024, 2078, 179, 1788, 171, 13.956
20, 1, 12, 1024, 2872, 186, 2493, 189, 13.196
25, 1, 12, 1024, 3297, 188, 2910, 186, 11.738
30, 1, 12, 1024, 4080, 191, 3741, 192, 8.309
35, 1, 12, 1024, 4855, 190, 4413, 192, 9.104
40, 1, 12, 1024, 5852, 192, 4995, 192, 14.645
45, 1, 12, 1024, 6352, 192, 5820, 192, 8.375
50, 1, 12, 1024, 7089, 192, 6597, 192, 6.940
55, 1, 12, 1024, 7550, 192, 7368, 192, 2.411
60, 1, 12, 1024, 8485, 192, 7935, 192, 6.482
65, 1, 12, 1024, 8943, 192, 8505, 192, 4.898
70, 1, 12, 1024, 9765, 192, 9537, 192, 2.335
75, 1, 12, 1024, 10346, 192, 10296, 192, 0.483
80, 1, 12, 1024, 11026, 192, 10881, 192, 1.315
85, 1, 12, 1024, 11833, 192, 11589, 192, 2.062
90, 1, 12, 1024, 12470, 192, 12147, 192, 2.590
95, 1, 12, 1024, 13100, 192, 13041, 192, 0.450
100, 1, 12, 1024, 13851, 192, 13851, 192, 0.000

Total execution time: 0 seconds
