--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement, % wearout
5, 10, 500, 4096, 641095, 179516, 507575, 154625, 20.827, 13.866
10, 10, 500, 4096, 1277330, 260857, 1099550, 243750, 13.918, 6.558
15, 10, 500, 4096, 1912367, 296302, 1699312, 288250, 11.141, 2.717
20, 10, 500, 4096, 2543169, 310893, 2320262, 306250, 8.765, 1.493
25, 10, 500, 4096, 3180549, 316749, 2917600, 315125, 8.267, 0.513
30, 10, 500, 4096, 3809890, 318972, 3535325, 317750, 7.207, 0.383
35, 10, 500, 4096, 4442511, 319716, 4137262, 319375, 6.871, 0.107
40, 10, 500, 4096, 5074074, 319924, 4783862, 319875, 5.720, 0.015
45, 10, 500, 4096, 5709316, 319977, 5420925, 320000, 5.051, -0.007
50, 10, 500, 4096, 6339491, 319997, 6027225, 320000, 4.926, -0.001
55, 10, 500, 4096, 6977498, 319999, 6683425, 320000, 4.215, -0.000
60, 10, 500, 4096, 7606435, 319999, 7324862, 320000, 3.702, -0.000
65, 10, 500, 4096, 8241234, 320000, 7949850, 320000, 3.536, 0.000
70, 10, 500, 4096, 8879211, 320000, 8579050, 320000, 3.380, 0.000
75, 10, 500, 4096, 9509548, 320000, 9228912, 320000, 2.951, 0.000
80, 10, 500, 4096, 10145122, 320000, 9914137, 320000, 2.277, 0.000
85, 10, 500, 4096, 10777618, 320000, 10573062, 320000, 1.898, 0.000
90, 10, 500, 4096, 11411251, 320000, 11237687, 320000, 1.521, 0.000
95, 10, 500, 4096, 12045702, 320000, 11917425, 320000, 1.065, 0.000
100, 10, 500, 4096, 12678187, 320000, 12678187, 320000, 0.000, 0.000

Total execution time: 7 seconds
