--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement
5, 1, 10, 1024, 510, 77, 404, 72, 20.784
10, 1, 10, 1024, 979, 105, 830, 98, 15.220
15, 1, 10, 1024, 1477, 117, 1288, 112, 12.796
20, 1, 10, 1024, 1882, 124, 1744, 128, 7.333
25, 1, 10, 1024, 2180, 127, 1976, 122, 9.358
30, 1, 10, 1024, 2712, 128, 2522, 128, 7.006
35, 1, 10, 1024, 3176, 128, 3008, 128, 5.290
40, 1, 10, 1024, 3456, 128, 3320, 128, 3.935
45, 1, 10, 1024, 4167, 128, 3940, 128, 5.448
50, 1, 10, 1024, 4717, 128, 4448, 128, 5.703
55, 1, 10, 1024, 5036, 128, 4756, 128, 5.560
60, 1, 10, 1024, 5578, 128, 5260, 128, 5.701
65, 1, 10, 1024, 6270, 128, 5818, 128, 7.209
70, 1, 10, 1024, 6410, 128, 6302, 128, 1.685
75, 1, 10, 1024, 6951, 128, 6800, 128, 2.172
80, 1, 10, 1024, 7263, 128, 7180, 128, 1.143
85, 1, 10, 1024, 7980, 128, 7578, 128, 5.038
90, 1, 10, 1024, 8233, 128, 8120, 128, 1.373
95, 1, 10, 1024, 8814, 128, 8736, 128, 0.885
100, 1, 10, 1024, 9234, 128, 9234, 128, 0.000

Total execution time: 0 seconds
